 file, R, G, B, correct
output0272.jpg, 15, 18,  4,True
output0332.jpg,  9, 12, 16,True
output0320.jpg,  9, 12, 16,True
output0277.jpg, 15, 18,  4,True
output0250.jpg, 12, 20,  5,True
output0153.jpg, 13, 17,  7,True
output0134.jpg, 14, 13, 10,True
output0173.jpg,  7, 14, 16,True
output0395.jpg, 14, 16,  7,True
output0522.jpg, 20, 13,  4,True
output0290.jpg, 13, 18,  6,True
output0137.jpg, 14, 13, 10,True
output0281.jpg, 13, 19,  5,True
output0013.jpg, 11, 12, 14,True
output0519.jpg, 21,  9,  7,True
output0051.jpg, 28,  7,  2,True
output0118.jpg, 17, 13,  7,True
output0379.jpg, 16, 11, 10,True
output0085.jpg, 12, 18,  7,True
output0188.jpg,  8, 18, 11,True
output0228.jpg, 10, 13, 14,True
output0339.jpg,  9, 12, 16,True
output0456.jpg, 17, 16,  4,True
output0463.jpg, 15, 18,  4,True
output0211.jpg, 11, 17,  9,True
output0262.jpg, 14, 16,  7,True
output0376.jpg, 16, 11, 10,True
output0388.jpg, 16, 11, 10,True
output0171.jpg, 13,  9, 15,True
output0140.jpg, 14, 13, 10,True
output0488.jpg, 19, 16,  2,True
output0483.jpg, 19, 16,  2,True
output0202.jpg, 11, 17,  9,True
output0028.jpg, 13, 14, 10,True
output0504.jpg, 18, 17,  2,True
output0513.jpg, 21,  9,  7,True
output0130.jpg, 13, 20,  4,True
output0114.jpg, 17, 13,  7,True
output0125.jpg, 13, 20,  4,True
output0042.jpg, 28,  7,  2,True
output0369.jpg, 15, 10, 12,True
output0058.jpg, 28,  7,  2,True
output0106.jpg, 16, 12,  9,True
output0451.jpg, 19, 15,  3,True
output0510.jpg, 18, 17,  2,True
output0066.jpg, 28,  7,  2,True
output0052.jpg, 28,  7,  2,True
output0417.jpg, 12, 18,  7,True
output0439.jpg, 15, 20,  2,True
output0349.jpg, 10, 16, 11,True
output0076.jpg,  3,  9, 25,True
output0506.jpg, 18, 17,  2,True
output0342.jpg, 10, 16, 11,True
output0516.jpg, 21,  9,  7,True
output0095.jpg, 14, 13, 10,True
output0454.jpg, 17, 16,  4,True
output0206.jpg, 11, 17,  9,True
output0102.jpg, 14, 13, 10,True
output0512.jpg, 21,  9,  7,True
output0402.jpg, 15, 13,  9,True
output0479.jpg, 20, 14,  3,True
output0197.jpg, 15, 11, 11,True
output0309.jpg,  9, 19,  9,True
output0297.jpg, 13, 18,  6,True
output0003.jpg, 37,  0,  0,True
output0093.jpg, 12, 18,  7,True
output0407.jpg, 15, 13,  9,True
output0014.jpg, 11, 12, 14,True
output0457.jpg, 17, 16,  4,True
output0304.jpg,  9, 19,  9,True
output0195.jpg, 15, 11, 11,True
output0384.jpg, 16, 11, 10,True
