 file, R, G, B, method
output0241.jpg, 12, 20,  5, MoG
output0168.jpg, 13,  9, 15, MoG
output0345.jpg, 10, 16, 11, MoG
output0474.jpg, 20, 14,  3, MoG
output0152.jpg, 19, 14,  4, MoG
output0159.jpg, 13, 17,  7, MoG
output0266.jpg, 14, 16,  7, MoG
output0267.jpg, 14, 16,  7, MoG
output0344.jpg, 10, 16, 11, MoG
output0429.jpg, 15, 10, 12, MoG
output0495.jpg, 22, 10,  5, MoG
output0229.jpg, 10, 13, 14, MoG
output0094.jpg, 14, 13, 10, MoG
output0004.jpg, 37,  0,  0, MoG
output0230.jpg, 10, 13, 14, MoG
output0518.jpg, 21,  9,  7, MoG
output0059.jpg, 28,  7,  2, MoG
output0246.jpg, 12, 20,  5, MoG
output0018.jpg, 11, 12, 14, MoG
output0223.jpg, 10, 13, 14, MoG
output0057.jpg, 28,  7,  2, MoG
output0118.jpg, 17, 13,  7, MoG
output0201.jpg, 15, 11, 11, MoG
output0236.jpg, 12, 16,  9, MoG
output0196.jpg, 15, 11, 11, MoG
output0399.jpg, 14, 16,  7, MoG
output0163.jpg, 13,  9, 15, MoG
output0130.jpg, 13, 20,  4, MoG
output0385.jpg, 16, 11, 10, MoG
output0065.jpg, 28,  7,  2, MoG
output0108.jpg, 16, 12,  9, MoG
output0209.jpg, 11, 17,  9, MoG
output0423.jpg, 15, 10, 12, MoG
output0373.jpg, 16, 11, 10, MoG
output0033.jpg, 13, 14, 10, MoG
output0127.jpg, 13, 20,  4, MoG
output0508.jpg, 18, 17,  2, MoG
output0122.jpg, 17, 13,  7, MoG
output0235.jpg, 12, 16,  9, MoG
output0369.jpg, 15, 10, 12, MoG
output0384.jpg, 16, 11, 10, MoG
output0119.jpg, 17, 13,  7, MoG
output0259.jpg, 11, 20,  6, MoG
output0473.jpg, 20, 14,  3, MoG
output0032.jpg, 13, 14, 10, MoG
output0332.jpg,  9, 12, 16, MoG
output0430.jpg, 15, 10, 12, MoG
output0361.jpg, 15, 10, 12, MoG
output0453.jpg, 17, 16,  4, MoG
output0320.jpg,  9, 12, 16, MoG
output0443.jpg, 19, 15,  3, MoG
output0288.jpg, 13, 19,  5, MoG
output0128.jpg, 13, 20,  4, MoG
output0189.jpg,  8, 18, 11, MoG
output0251.jpg, 11, 20,  6, MoG
output0058.jpg, 28,  7,  2, MoG
output0516.jpg, 21,  9,  7, MoG
output0477.jpg, 20, 14,  3, MoG
output0149.jpg, 19, 14,  4, MoG
output0245.jpg, 12, 20,  5, MoG
output0117.jpg, 17, 13,  7, MoG
output0123.jpg, 13, 20,  4, MoG
output0513.jpg, 21,  9,  7, MoG
output0260.jpg, 11, 20,  6, MoG
output0213.jpg, 11, 13, 13, MoG
output0485.jpg, 19, 16,  2, MoG
output0469.jpg, 15, 18,  4, MoG
output0084.jpg,  3,  9, 25, MoG
output0457.jpg, 17, 16,  4, MoG
output0416.jpg, 12, 18,  7, MoG
output0360.jpg, 13,  9, 15, MoG
output0405.jpg, 15, 13,  9, MoG
output0205.jpg, 11, 17,  9, MoG
output0439.jpg, 15, 20,  2, MoG
output0150.jpg, 19, 14,  4, MoG
output0009.jpg, 37,  0,  0, MoG
output0452.jpg, 17, 16,  4, MoG
output0449.jpg, 19, 15,  3, MoG
output0044.jpg, 28,  7,  2, MoG
output0106.jpg, 16, 12,  9, MoG
output0142.jpg, 14, 13, 10, MoG
output0276.jpg, 15, 18,  4, MoG
output0165.jpg, 13,  9, 15, MoG
output0124.jpg, 13, 20,  4, MoG
output0280.jpg, 15, 18,  4, MoG
output0238.jpg, 12, 16,  9, MoG
output0273.jpg, 15, 18,  4, MoG
output0135.jpg, 14, 13, 10, MoG
output0075.jpg,  3,  9, 25, MoG
output0389.jpg, 16, 11, 10, MoG
output0436.jpg, 15, 20,  2, MoG
output0007.jpg, 37,  0,  0, MoG
output0507.jpg, 18, 17,  2, MoG
output0406.jpg, 15, 13,  9, MoG
output0290.jpg, 13, 18,  6, MoG
output0338.jpg,  9, 12, 16, MoG
output0456.jpg, 17, 16,  4, MoG
output0095.jpg, 14, 13, 10, MoG
output0440.jpg, 15, 20,  2, MoG
output0285.jpg, 13, 19,  5, MoG
output0367.jpg, 15, 10, 12, MoG
output0154.jpg, 13, 17,  7, MoG
output0351.jpg, 13,  9, 15, MoG
output0308.jpg,  9, 19,  9, MoG
output0504.jpg, 18, 17,  2, MoG
output0162.jpg, 13, 17,  7, MoG
output0444.jpg, 19, 15,  3, MoG
output0191.jpg,  8, 18, 11, MoG
output0317.jpg, 11, 13, 13, MoG
output0424.jpg, 15, 10, 12, MoG
output0077.jpg,  3,  9, 25, MoG
output0096.jpg, 14, 13, 10, MoG
output0302.jpg,  9, 19,  9, MoG
output0161.jpg, 13, 17,  7, MoG
output0066.jpg, 28,  7,  2, MoG
output0315.jpg, 11, 13, 13, MoG
output0232.jpg, 12, 16,  9, MoG
output0145.jpg, 19, 14,  4, MoG
output0218.jpg, 11, 13, 13, MoG
output0420.jpg, 12, 18,  7, MoG
output0134.jpg, 14, 13, 10, MoG
output0379.jpg, 16, 11, 10, MoG
output0105.jpg, 16, 12,  9, MoG
output0237.jpg, 12, 16,  9, MoG
output0068.jpg, 28,  7,  2, MoG
output0491.jpg, 19, 16,  2, MoG
