image,color,kilobots
output1304.jpg, green, 16
output1304.jpg, red, 21
output1304.jpg, blue, 1
output0025.jpg, green, 14
output0025.jpg, red, 22
output0025.jpg, blue, 1
output1635.jpg, green, 13
output1635.jpg, red, 24
output1585.jpg, green, 10
output1585.jpg, red, 27
output1530.jpg, green, 14
output1530.jpg, red, 23
output0479.jpg, green, 15
output0479.jpg, red, 22
output0388.jpg, green, 20
output0388.jpg, red, 16
output0388.jpg, blue, 1
output0955.jpg, green, 16
output0955.jpg, red, 22
output0133.jpg, green, 14
output0133.jpg, red, 23
output1487.jpg, green, 15
output1487.jpg, red, 22
output1866.jpg, green, 16
output1866.jpg, red, 22
output1706.jpg, green, 14
output1706.jpg, red, 24
output1660.jpg, green, 11
output1660.jpg, red, 26
output0053.jpg, green, 10
output0053.jpg, blue, 1
output0053.jpg, red, 26
output0347.jpg, green, 23
output0347.jpg, red, 14
output0347.jpg, blue, 1
output0385.jpg, green, 20
output0385.jpg, red, 16
output0385.jpg, blue, 2
output1038.jpg, green, 16
output1038.jpg, blue, 1
output1038.jpg, red, 21
output1717.jpg, green, 15
output1717.jpg, red, 23
output0381.jpg, green, 19
output0381.jpg, blue, 1
output0381.jpg, red, 17
output0688.jpg, green, 15
output0688.jpg, red, 23
output1292.jpg, green, 17
output1292.jpg, red, 19
output1292.jpg, blue, 1
output1334.jpg, green, 17
output1334.jpg, red, 21
output1465.jpg, green, 13
output1465.jpg, red, 24
output1465.jpg, blue, 1
output0062.jpg, green, 8
output0062.jpg, red, 29
output0129.jpg, green, 14
output0129.jpg, red, 23
output0506.jpg, green, 10
output0506.jpg, red, 28
output1030.jpg, green, 17
output1030.jpg, blue, 2
output1030.jpg, red, 18
output1793.jpg, green, 15
output1793.jpg, red, 23
output1682.jpg, green, 14
output1682.jpg, red, 23
output1545.jpg, green, 13
output1545.jpg, red, 25
output0243.jpg, green, 11
output0243.jpg, red, 27
output1062.jpg, green, 13
output1062.jpg, red, 21
output1062.jpg, blue, 3
output0508.jpg, green, 10
output0508.jpg, red, 28
output1204.jpg, green, 14
output1204.jpg, blue, 1
output1204.jpg, red, 22
output2040.jpg, green, 18
output2040.jpg, red, 16
output2040.jpg, blue, 3
output0984.jpg, green, 14
output0984.jpg, blue, 4
output0984.jpg, red, 20
output0264.jpg, green, 17
output0264.jpg, blue, 1
output0264.jpg, red, 20
output0141.jpg, green, 16
output0141.jpg, blue, 1
output0141.jpg, red, 20
output1485.jpg, green, 15
output1485.jpg, red, 23
output2011.jpg, green, 15
output2011.jpg, red, 21
output2011.jpg, blue, 1
output1603.jpg, green, 14
output1603.jpg, red, 23
output1415.jpg, green, 12
output1415.jpg, blue, 1
output1415.jpg, red, 24
output1514.jpg, green, 14
output1514.jpg, red, 24
output1248.jpg, green, 17
output1248.jpg, red, 21
output1705.jpg, green, 14
output1705.jpg, red, 24
output1778.jpg, green, 16
output1778.jpg, red, 21
output1852.jpg, green, 15
output1852.jpg, red, 22
output1277.jpg, green, 20
output1277.jpg, red, 17
output1296.jpg, green, 17
output1296.jpg, red, 19
output1296.jpg, blue, 1
