image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
image,color,kilobots
image,color,kilobots
out006.jpg,blue,39
image,color,kilobots
image,color,kilobots
image,color,kilobots
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
image,color,kilobots
out006.jpg,blue,39
out003.jpg,green,23
out003.jpg,blue,16
out110.jpg,blue,37
out110.jpg,red,1
out0134.jpg,green,23
out0134.jpg,red,13
out0134.jpg,blue,1
out002.jpg,red,39
out0037.jpg,green,21
out0037.jpg,red,15
out0018.jpg,green,17
out0018.jpg,red,20
out0142.jpg,green,30
out0142.jpg,red,7
out0121.jpg,green,21
out0121.jpg,red,16
out0121.jpg,blue,1
out007.jpg,green,39
