Images/image_0001.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  3: 9x10+970+410 974.3,414.5 56 srgb(255,255,255)
  1: 9x9+803+89 806.9,93.5 51 srgb(255,255,255)
  4: 5x6+971+412 973.2,414.5 22 srgb(0,0,0)
  2: 4x4+805+92 806.6,93.6 13 srgb(0,0,0)
Images/image_0001.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07329e+06 srgb(0,0,0)
  1: 9x8+1037+40 1041.3,44.0 59 srgb(255,255,255)
  3: 8x10+1018+92 1021.1,95.9 59 srgb(255,255,255)
  12: 9x9+640+915 643.8,918.7 59 srgb(255,255,255)
  9: 9x8+796+472 800.1,475.4 52 srgb(255,255,255)
  7: 8x6+1236+308 1239.5,310.6 37 srgb(255,255,255)
  6: 6x6+1367+229 1369.6,231.6 30 srgb(255,255,255)
  10: 4x5+797+473 798.4,475.1 14 srgb(0,0,0)
Images/image_0001.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07336e+06 srgb(0,0,0)
  1: 11x9+1346+272 1350.8,276.1 61 srgb(255,255,255)
  5: 10x10+1420+833 1424.6,837.3 61 srgb(255,255,255)
  3: 10x9+786+791 790.6,795.1 59 srgb(255,255,255)
  2: 5x5+1348+274 1349.9,276.1 22 srgb(0,0,0)
  4: 5x5+788+793 790.0,795.2 21 srgb(0,0,0)
  6: 5x5+1422+835 1424.1,837.0 21 srgb(0,0,0)
Images/image_0002.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  3: 9x10+970+410 974.4,414.5 57 srgb(255,255,255)
  1: 8x9+803+90 806.7,93.7 42 srgb(255,255,255)
  4: 5x5+971+412 973.2,414.0 23 srgb(0,0,0)
  2: 4x5+805+92 806.2,94.2 14 srgb(0,0,0)
Images/image_0002.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0733e+06 srgb(0,0,0)
  3: 9x9+1018+92 1021.6,96.1 51 srgb(255,255,255)
  9: 10x9+795+472 800.2,475.5 51 srgb(255,255,255)
  1: 9x9+1037+40 1041.3,44.1 49 srgb(255,255,255)
  12: 8x8+641+916 644.5,919.1 40 srgb(255,255,255)
  7: 8x6+1236+308 1239.3,310.5 37 srgb(255,255,255)
  5: 6x6+1367+230 1369.8,232.3 30 srgb(255,255,255)
  10: 5x5+797+473 798.6,475.5 14 srgb(0,0,0)
  2: 3x5+1040+42 1040.8,44.1 11 srgb(0,0,0)
  4: 3x5+1020+94 1021.0,95.7 11 srgb(0,0,0)
  13: 4x4+642+918 643.7,919.7 10 srgb(0,0,0)
Images/image_0002.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07335e+06 srgb(0,0,0)
  1: 11x10+1346+271 1351.3,275.9 67 srgb(255,255,255)
  5: 10x10+1420+832 1424.7,836.4 61 srgb(255,255,255)
  3: 10x10+786+791 790.7,795.3 58 srgb(255,255,255)
  2: 6x5+1348+274 1350.4,276.0 21 srgb(0,0,0)
  4: 5x5+788+793 790.0,795.2 21 srgb(0,0,0)
  6: 5x5+1422+835 1424.3,836.9 21 srgb(0,0,0)
Images/image_0003.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0736e+06 srgb(0,0,0)
Images/image_0003.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07315e+06 srgb(0,0,0)
  8: 11x12+923+393 928.2,399.2 78 srgb(255,255,255)
  10: 11x9+817+471 822.4,474.5 52 srgb(255,255,255)
  7: 10x9+1190+267 1195.1,270.4 50 srgb(255,255,255)
  13: 8x7+1430+816 1433.4,819.0 50 srgb(255,255,255)
  1: 9x9+1050+43 1054.0,46.3 43 srgb(255,255,255)
  16: 8x8+646+920 649.5,923.2 41 srgb(255,255,255)
  3: 8x8+777+96 780.7,99.2 36 srgb(255,255,255)
  5: 6x6+1366+228 1368.4,230.5 31 srgb(255,255,255)
  9: 5x6+926+396 927.9,398.8 23 srgb(0,0,0)
  11: 4x5+820+472 821.5,473.9 14 srgb(0,0,0)
  2: 3x5+1052+44 1053.2,46.0 13 srgb(0,0,0)
  4: 5x7+1031+97 1032.8,100.3 13 srgb(255,255,255)
  17: 3x4+648+922 649.2,923.7 10 srgb(0,0,0)
Images/image_0003.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07341e+06 srgb(0,0,0)
  1: 10x11+1370+244 1374.8,249.1 72 srgb(255,255,255)
  3: 10x11+799+767 803.6,771.4 66 srgb(255,255,255)
  4: 5x6+801+769 802.9,771.4 27 srgb(0,0,0)
  2: 5x6+1372+247 1374.0,249.2 21 srgb(0,0,0)
Images/image_0004.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07354e+06 srgb(0,0,0)
  2: 9x8+1021+135 1025.2,138.6 43 srgb(255,255,255)
  3: 4x5+1023+137 1024.2,138.9 17 srgb(0,0,0)
Images/image_0004.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07322e+06 srgb(0,0,0)
  13: 11x11+892+438 897.8,442.9 64 srgb(255,255,255)
  3: 9x10+750+107 754.2,111.5 60 srgb(255,255,255)
  1: 10x9+1029+48 1033.6,51.6 52 srgb(255,255,255)
  7: 8x7+1142+289 1144.8,292.2 43 srgb(255,255,255)
  16: 9x7+656+930 660.2,933.1 38 srgb(255,255,255)
  14: 8x8+1450+784 1453.1,788.0 31 srgb(255,255,255)
  5: 6x6+1363+224 1365.3,226.5 30 srgb(255,255,255)
  9: 7x7+851+429 854.2,431.9 27 srgb(255,255,255)
  10: 4x4+853+431 854.2,432.6 13 srgb(0,0,0)
  17: 4x4+658+932 659.5,933.7 12 srgb(0,0,0)
  2: 3x5+1032+49 1032.8,51.1 11 srgb(0,0,0)
Images/image_0004.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07339e+06 srgb(0,0,0)
  3: 13x12+821+754 827.2,759.3 95 srgb(255,255,255)
  1: 10x11+1374+235 1378.7,239.9 66 srgb(255,255,255)
  4: 5x6+825+757 827.0,759.2 27 srgb(0,0,0)
  2: 5x6+1376+237 1377.8,239.6 21 srgb(0,0,0)
Images/image_0005.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07354e+06 srgb(0,0,0)
  1: 9x9+1002+170 1006.4,174.4 49 srgb(255,255,255)
  2: 3x5+1005+172 1006.0,174.0 15 srgb(0,0,0)
Images/image_0005.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07319e+06 srgb(0,0,0)
  1: 11x9+1018+79 1022.9,82.8 63 srgb(255,255,255)
  9: 9x12+874+412 878.0,417.6 60 srgb(255,255,255)
  3: 9x8+726+123 729.8,126.8 59 srgb(255,255,255)
  12: 8x8+1453+752 1456.3,755.5 54 srgb(255,255,255)
  15: 9x8+661+935 664.8,938.2 49 srgb(255,255,255)
  7: 8x7+848+387 851.5,389.8 34 srgb(255,255,255)
  5: 6x7+1367+229 1369.9,231.9 31 srgb(255,255,255)
  6: 7x6+1209+303 1211.5,306.0 28 srgb(255,255,255)
  10: 5x6+875+415 877.0,417.5 20 srgb(0,0,0)
  2: 3x5+1021+81 1022.4,83.2 10 srgb(0,0,0)
Images/image_0005.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07341e+06 srgb(0,0,0)
  3: 12x11+840+751 845.6,755.8 76 srgb(255,255,255)
  1: 11x10+1396+242 1401.2,246.4 67 srgb(255,255,255)
  4: 5x6+843+753 845.1,755.8 25 srgb(0,0,0)
  2: 5x5+1399+244 1400.7,246.1 20 srgb(0,0,0)
Images/image_0006.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  1: 10x9+1058+193 1062.6,197.2 57 srgb(255,255,255)
  3: 10x9+687+957 692.2,961.1 52 srgb(255,255,255)
  4: 5x6+689+959 691.3,961.4 22 srgb(0,0,0)
  2: 3x5+1061+195 1062.1,197.1 14 srgb(0,0,0)
Images/image_0006.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07323e+06 srgb(0,0,0)
  9: 9x9+786+382 789.8,386.5 64 srgb(255,255,255)
  12: 10x11+825+411 829.9,415.7 58 srgb(255,255,255)
  1: 9x9+1003+112 1007.5,115.7 52 srgb(255,255,255)
  3: 9x10+707+137 710.9,141.8 48 srgb(255,255,255)
  15: 9x9+1464+691 1468.8,694.9 46 srgb(255,255,255)
  7: 7x6+1257+290 1259.8,292.5 37 srgb(255,255,255)
  4: 7x6+1363+225 1366.0,227.3 32 srgb(255,255,255)
  13: 5x5+827+414 829.0,415.7 22 srgb(0,0,0)
  2: 3x5+1005+113 1006.1,114.8 12 srgb(0,0,0)
Images/image_0006.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07342e+06 srgb(0,0,0)
